,Conversation,Sentiment,cleaned,Length
1085,এই গাঁধাটাকে কে বিয়ে করবে,negative,গাঁধাটাকে বিয়ে,2
1086,"আমাদের বোন যেন আমাদের মত দূর্ভাগা না হয়, সেটা আমাদেরকেই নিশ্চিত করতে হবে",positive,বোন মত দূর্ভাগা আমাদেরকেই নিশ্চিত,5
1087,সে তো খুবই সুন্দর!,positive,খুবই সুন্দর,2
1088,একটা সুদর্শন ছেলে,positive,সুদর্শন ছেলে,2
1089,আমি আপনাকে ভালোবাসি,positive,ভালোবাসি,1
1090,কিন্তু আমি তো বিবাহিত,positive,বিবাহিত,1
1091,আপনার দ্বিতীয় স্ত্রী হতে আমার কোনো আপত্তি নেই,positive,দ্বিতীয় স্ত্রী আপত্তি,3
1092,"আপনার উচিত এই বিয়েটা বাতিল করে, আমাদেরকে সমর্থন জানানো",positive,বিয়েটা বাতিল আমাদেরকে সমর্থন,4
1093,হাঁটুতে ব্যথা করছে,negative,হাঁটুতে ব্যথা,2
1094,শরীরে ব্যথা করছে,negative,শরীরে ব্যথা,2
1095,ভালোবাসার সাথে ফিটনেসের কোনো সম্পর্ক নেই,positive,ভালোবাসার ফিটনেসের সম্পর্ক,3
1096,তার মৃত্যু নিশ্চিত,negative,মৃত্যু নিশ্চিত,2
1097,সুন্দর! মিষ্টি!,positive,সুন্দর মিষ্টি,2
1098,সৃষ্টিকর্তাকে ধন্যবাদ!,positive,সৃষ্টিকর্তাকে ধন্যবাদ,2
1099,হাত ধরার মাধ্যমে তাদের অর্ধেক বিয়ে হয়ে গেছে,positive,হাত ধরার অর্ধেক বিয়ে,4
1100,আমাদের কষ্টের কথা জানলে তুমি এভাবে বলতে না,negative,কষ্টের জানলে এভাবে,3
1101,আমার স্বামী খুব খারাপ লোক।,negative,স্বামী খারাপ লোক,3
1102,সে আমার উপর খুব নির্যাতন করে।,negative,নির্যাতন,1
1103,বাকিটা আমাকে বলতে দাও,positive,বাকিটা দাও,2
1104,বাহ! তুমি তো বেশ বুদ্ধিমান।,positive,বাহ বুদ্ধিমান,2
1105,তুই খুব ভাগ্যবতী রে।,positive,তুই ভাগ্যবতী রে,3
1106,আমিও সেটা বিবেচনা করেই রাজি হয়ে গিয়েছিলাম,positive,আমিও বিবেচনা রাজি গিয়েছিলাম,4
1107,তাই তার কথা বিশ্বাস করে আমি কাগজে স্বাক্ষর করে দিয়েছিলাম,positive,বিশ্বাস কাগজে স্বাক্ষর দিয়েছিলাম,4
1108,ভাগ্য ভালো,positive,ভাগ্য ভালো,2
1109,সে বিয়ে করলে আপনিই সবচেয়ে সুখী হবেন,positive,বিয়ে আপনিই সবচেয়ে সুখী,4
1110,বেশ আরামদায়ক,positive,আরামদায়ক,1
1111,আপনি আমার শক্তি। আমার সাহস,positive,শক্তি সাহস,2
1112,কী সুন্দর! কী মিষ্টি!,positive,সুন্দর মিষ্টি,2
1113,কী সুদর্শন!,positive,সুদর্শন,1
1114,আমি ওকে একটা সুন্দর জীবন দিব,positive,সুন্দর জীবন দিব,3
1115,বাহ! কী দারুণ,positive,বাহ দারুণ,2
1116,ওর জন্য একটা হাততালি হয়ে যাক৷,positive,হাততালি যাক৷,2
1117,"যদি এমন কারো মতামত পেতাম, যে এসবের সাথে জড়িত নয়",positive,কারো মতামত পেতাম এসবের জড়িত,5
1118,কী সুন্দর নাটক! ,positive,সুন্দর নাটক,2
1119,ভালো বুদ্ধি৷ ভালো বুদ্ধি। ,positive,ভালো বুদ্ধি৷ ভালো বুদ্ধি,4
1120,লোকটা মারা যাবে তো!,negative,লোকটা মারা,2
1121,আমি নিশ্চিত সে খুশি হবে,positive,নিশ্চিত খুশি,2
1122,তুমি দেখতে একদম আমার মেলায়  হারিয়ে যাওয়া ছেলেটার মতো,positive,একদম মেলায় হারিয়ে ছেলেটার,4
1123,"ও একটা শয়তান মেয়ে, বাবাকে ঠকিয়েছে",negative,শয়তান মেয়ে বাবাকে ঠকিয়েছে,4
1124,তুই একটা চোর৷,negative,তুই চোর৷,2
1125,উনি খুব বিপদে আছেন৷,negative,বিপদে আছেন৷,2
1126,আমাকে ক্ষমা করে দিন,negative,ক্ষমা,1
1127,আপনি মনোযোগ দিচ্ছেন না কেন? ,negative,মনোযোগ দিচ্ছেন,2
1128,বাচ্চারা কাঁদছে,negative,বাচ্চারা কাঁদছে,2
1129,"ওই, কে রে শালা তুই?",negative,রে শালা তুই,3
1130,সবকিছুই পরিকল্পনা মাফিক হবে,positive,সবকিছুই পরিকল্পনা মাফিক,3
1131,তুই কোন নরক থেকে এসেছিস রে?,negative,তুই নরক এসেছিস রে,4
1132,এখানেই মরবি তুই।,negative,মরবি তুই,2
1133,আপনি যা করেছেন তার জন্যে আপনাকে মেরে ফেলা উচিত,negative,জন্যে মেরে ফেলা,3
